name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
			PurchaseOfBusiness,"-629,000,000","-64,000,000","-38,000,000","-83,000,000","-444,000,000","-62,000,000","-34,000,000","-363,000,000","-853,000,000","-522,000,000","-71,000,000","-259,000,000","0","-63,000,000","-6,314,000,000","-339,000,000","-33,000,000",,"-71,000,000","-3,000,000","-50,000,000","0","-72,000,000","-16,000,000","-49,000,000","-16,000,000","-98,000,000","-8,000,000","0","-42,000,000","-61,000,000","-19,000,000","-1,000,000","-4,000,000","-27,000,000","-25,000,000","-257,000,000","-4,221,000,000","-735,000,000","-19,000,000","0","-131,000,000","-16,000,000","-122,000,000","-99,000,000","0","-336,000,000","-550,000,000","-25,000,000","-19,000,000","-1,000,000","-3,000,000","-1,000,000"
		NetInvestmentPurchaseAndSale,"3,202,000,000","1,187,000,000","467,000,000","1,099,000,000","449,000,000","1,517,000,000","-328,000,000","939,000,000","1,399,000,000","11,844,000,000","4,199,000,000","-3,264,000,000","-600,000,000","-470,000,000","-6,875,000,000","-338,000,000","-476,000,000","509,000,000","-1,508,000,000","-313,000,000","-2,881,000,000","637,000,000","-830,000,000","1,092,000,000","1,575,000,000","-2,717,000,000","-1,892,000,000","-4,010,000,000","-4,631,000,000","-643,000,000","-1,969,000,000","-3,998,000,000","-576,000,000","-2,055,000,000","-2,526,000,000","-11,000,000","-2,108,000,000","-1,643,000,000","4,326,000,000","68,000,000","-1,508,000,000","-1,905,000,000","1,034,000,000","-105,000,000","94,000,000","733,000,000","117,000,000","-5,485,000,000","-241,000,000","160,000,000","-666,000,000","-1,893,000,000","0"
			PurchaseOfInvestment,"-2,982,000,000","-1,172,000,000","-1,007,000,000","-718,000,000","-85,000,000","-746,000,000","-2,597,000,000","-2,220,000,000","-4,068,000,000","-6,093,000,000","-7,786,000,000","-10,297,000,000","-6,231,000,000","-5,737,000,000","-14,130,000,000","-6,179,000,000","-7,884,000,000","-4,758,000,000","-7,397,000,000","-5,152,000,000","-6,603,000,000","-1,998,000,000","-4,375,000,000","-4,261,000,000","-4,022,000,000","-5,272,000,000","-6,273,000,000","-7,145,000,000","-6,992,000,000","-4,973,000,000","-7,733,000,000","-6,509,000,000","-3,126,000,000","-5,605,000,000","-4,773,000,000","-2,505,000,000","-3,055,000,000","-2,889,000,000","-1,733,000,000","-1,508,000,000","-2,974,000,000","-3,069,000,000","-904,000,000","-1,952,000,000","-1,508,000,000","-1,716,000,000","-1,633,000,000","-6,083,000,000","-877,000,000","-284,000,000","-851,000,000","-1,893,000,000","0"
			SaleOfInvestment,"6,184,000,000","2,359,000,000","1,474,000,000","1,817,000,000","534,000,000","2,263,000,000","2,269,000,000","3,159,000,000","5,467,000,000","17,937,000,000","11,985,000,000","7,033,000,000","5,631,000,000","5,267,000,000","7,255,000,000","5,841,000,000","7,408,000,000","5,267,000,000","5,889,000,000","4,839,000,000","3,722,000,000","2,635,000,000","3,545,000,000","5,353,000,000","5,597,000,000","2,555,000,000","4,381,000,000","3,135,000,000","2,361,000,000","4,330,000,000","5,764,000,000","2,511,000,000","2,550,000,000","3,550,000,000","2,247,000,000","2,494,000,000","947,000,000","1,246,000,000","6,059,000,000","1,576,000,000","1,466,000,000","1,164,000,000","1,938,000,000","1,847,000,000","1,602,000,000","2,449,000,000","1,750,000,000","598,000,000","636,000,000","444,000,000","185,000,000","0","0"
		NetOtherInvestingChanges,"-23,000,000","-3,000,000","-10,000,000","-85,000,000","75,000,000","2,000,000","16,000,000","-7,000,000","-10,000,000","-124,000,000","-144,000,000","-60,000,000","-2,000,000","-27,000,000","279,000,000","-213,000,000","-75,000,000","63,000,000","-63,000,000","-64,000,000","-50,000,000","-21,000,000","-75,000,000","-16,000,000","-50,000,000","3,000,000","16,000,000","-4,000,000","-18,000,000","-21,000,000","8,000,000","41,000,000","33,000,000","25,000,000","33,000,000","21,000,000","23,000,000","-235,000,000","-112,000,000","-2,000,000","-1,000,000","-15,000,000","0","-3,000,000","6,000,000","0","1,000,000","-2,000,000","-1,000,000","1,000,000","8,000,000","-4,000,000","1,000,000"
FinancingCashFlow,"-19,500,000,000","-8,401,000,000","-5,875,000,000","5,292,000,000","-10,516,000,000","-7,060,000,000","2,147,000,000","-6,563,000,000","-10,660,000,000","-21,742,000,000","-15,252,000,000","-8,549,000,000","-5,185,000,000","-3,207,000,000","-2,911,000,000","-2,152,000,000","-2,022,000,000","-2,026,000,000","-2,019,000,000","-1,831,000,000","-1,423,000,000","-3,541,000,000","-5,157,000,000","-4,271,000,000","-2,603,000,000","-1,843,000,000","-1,531,000,000","-869,000,000","-992,000,000","-1,416,000,000","-8,000,000","4,000,000","-310,000,000","554,000,000","315,000,000","342,000,000","371,000,000","401,000,000","438,000,000","470,000,000","262,000,000","1,525,000,000","-1,599,000,000","-149,000,000","-444,000,000","-1,314,000,000","507,000,000","7,040,000,000","50,000,000","131,000,000","14,000,000","255,000,000","798,000,000"
	CashFlowFromContinuingFinancingActivities,"-19,500,000,000","-8,401,000,000","-5,875,000,000","5,292,000,000","-10,516,000,000","-7,060,000,000","2,147,000,000","-6,563,000,000","-10,660,000,000","-21,742,000,000","-15,252,000,000","-8,549,000,000","-5,185,000,000","-3,207,000,000","-2,911,000,000","-2,152,000,000","-2,022,000,000","-2,026,000,000","-2,019,000,000","-1,831,000,000","-1,423,000,000","-3,541,000,000","-5,157,000,000","-4,271,000,000","-2,603,000,000","-1,843,000,000","-1,531,000,000","-869,000,000","-992,000,000","-1,416,000,000","-8,000,000","4,000,000","-310,000,000","554,000,000","315,000,000","342,000,000","371,000,000","401,000,000","438,000,000","470,000,000","262,000,000","1,525,000,000","-1,599,000,000","-149,000,000","-444,000,000","-1,314,000,000","507,000,000","7,040,000,000","50,000,000","131,000,000","14,000,000","255,000,000","798,000,000"
		NetIssuancePaymentsOfDebt,"7,397,000,000","-307,000,000","-267,000,000","8,235,000,000","-264,000,000","15,000,000","9,758,000,000","-219,000,000","-233,000,000","-173,000,000","-219,000,000","-70,000,000","-201,000,000","-158,000,000","-196,000,000","-46,000,000","-180,000,000","-104,000,000","-285,000,000","-84,000,000","-302,000,000",,"0","0","0","0","0","0","0","0","0","0","-312,000,000","-12,000,000","-23,000,000","-37,000,000","-47,000,000","-44,000,000","-49,000,000","-66,000,000","-84,000,000","-100,000,000","-1,591,000,000","-91,000,000","-109,000,000","1,566,000,000","35,000,000","-52,000,000","-9,000,000","-53,000,000","-46,000,000","-53,000,000","-279,000,000"
			NetLongTermDebtIssuance,"7,397,000,000","-307,000,000","-267,000,000","8,235,000,000","-264,000,000","-235,000,000","9,758,000,000","-219,000,000","-233,000,000","-172,000,000","-231,000,000","-123,000,000","-151,000,000","-206,000,000","-189,000,000","-109,000,000","-100,000,000","-141,000,000","-144,000,000","-142,000,000","-125,000,000",,"0","0","0","0","0","0","0","0","0","0","-312,000,000","-12,000,000","-23,000,000","-37,000,000","-47,000,000","-44,000,000","-49,000,000","-66,000,000","-84,000,000","-100,000,000","-1,591,000,000","-91,000,000","-109,000,000","1,566,000,000","35,000,000","-52,000,000","-9,000,000","-53,000,000","-46,000,000","-53,000,000","-279,000,000"
				LongTermDebtIssuance,"8,455,000,000","0","0",,,"0","9,921,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,"123,000,000","20,000,000","62,000,000",,,,
